Scope	Task	Status	Priority	Assigned To	Comment	Script/reference file	Date Modified
Annotate Protein	Train additional prodigal compatible models	Done	Medium	Lander DC	For alt codes RNA viruses	Done by Lander in pyrodigal-rv.	
Annotate Protein	Add peptidase/proteinase cleavage motif scanning/prediction	To Do	high			commands/annotate_protein.py	
Annotate RNA	ORF 5' UTR analysis	To Do	High	Ribosome binding sequence, Kozak consensus sequence prediction (for host guess)	commands/annotate_rna.py	
Annotate RNA	Secondary structure prediction	Done	Higest (v1 mvp)		Validated for linearfold (default), need to verify the alternative options		
Annotate RNA	IRES detection	Done	Higest (v1 mvp)		Currently only via the rfam cmsearch - ires specific tools (iresspy, irespred) seem too dependency heavy.		
Annotate RNA	TR loops detection	To Do	High		For leviviruses		
Annotate RNA	rRNA detection	Done	Higest (v1 mvp)		For contamination estimation		
Annotate RNA	Ribosomal slippage detection	To Do	High				
Annotate RNA	Add ribosome shunting prediction	To Do	Medium				
Assembly	Single-sample assembly	Done	Higest (v1 mvp)				
Assembly	Co-assembly	In Progress	High 		Currently regular `assemble` will combine reads from all detected librarys in a given path. need to consider other options.	commands/assembly/co_assembly.py	2024-09-09 14:05:15
Assembly	Cross-assembly / extension	In Progress	High		Use contigs from all single-sample assemblies as input. partially implemented in extend.py		
Assembly	strain de-entanglement 	To Do	High 		a placeholder script in place, but logic and methods need to be tested. Just shipping to freebayes seems irresponsible.	commands/assembly/refinement.py
Benchmarking	Resource usage	To Do	High		Total run time, minimal memory requirements		
Benchmarking	Comparison with other tools	To Do	Higest (v1 mvp)		AliMarko, hecatomb, other?		
End-2-end	Packing and combining results	Done	Higest (v1 mvp)		for most commands, output is a folder with results. Some commands will output a single file.
Main Commands	Add CLI args / config file testing.	Done	Higest (v1 mvp)		Done - added pytest contracts for import and smoke tests on tiny datasets. Larger datasets are tested on dori via slurm (if they need a lot of memory)	/REDACTED_HPC_PATH/tests/rp_tests	
filter-reads	add option to save the host-filtered reads to speicifc files	To Do	Higest (v1 mvp)		i.e. "--host-reads"	/commands/reads/filter_reads.py	
filter-reads	Add preconfigured memory options 	Done	Higest (v1 mvp)		partially done via --mini/--fast presets and shrink-reads command.	/commands/reads/filter_reads.py	
Main Commands	Coherce outputs to GFF	In Progress	High		Add \n//FASTA with sequence at the end of each record	commands/annotation/annotate.py	2024-09-14 16:47:29
Main Commands	add support for non illumina PE data (single end, pacbio, ONT).	To Do	High	@FSchultz. support for MetaFlye and MetaMDBG to be considered.		
Main Commands	Add option to keep files in memory/RAM disk	Done	Medium	Mostly done via keep-tmp and temp-dir args	
Marker Search	Validate and implement remaining hit-consoldation and interval ops functionality	Done	Higest (v1 mvp)		merge mode now uses native polars/intervaltree clustering; remaining modes may still need tests/examples	rolypoly/utils/interval_ops.py	
Packaging	bioconda	In Progress	High		on pypi. PR with recipe submitted to bioconda	misc/envs/env_big.yaml
Packaging	Finalizing the database and contents	To Do	Higest (v1 mvp)	Uri Neri	Done, needs to upload to zenodo.	 is:open 	
Packaging	Documentation	To Do	Higest (v1 mvp)		Need to clean and add use-cases.		
Summary	Circularity prediction	To Do	High	Antonio Camargo	For ambi and maybe mito/narna	src/rolypoly/commands/virotype/predict_characteristics.py	
Summary	Taxonomic assignment	To Do	High	Antonio Camargo	Use mmseqs taxonomy	src/rolypoly/commands/virotype/predict_characteristics.py	
Summary	Genome completeness estimation	To Do	Medium			src/rolypoly/commands/virotype/predict_characteristics.py	
Summary	Visualization	To Do	Medium		Plan now is to send to hoodini or similar.	
Summary	Virion type	To Do	Medium		Capsid / capsid-less, lipid enveloped/not, symmetry (T# / helical etc)
Summary	segmentality prediction	To Do	Medium		poly/mono/unclear (only based on taxonomy, and disclaimed as vulnerable to incompleteness)
Summary	strandedness prediction	To Do	Medium		ss-/+/dsRNA (probably only based on taxonomy, for strand exclusive clades).
Summary	Host prediction	To Do	Medium		At least domain level (prok / euk / unknown), TBD: addtional sequence features. Plan now is to delgate to vhamster or similar.		
Summary	Add phenotypic prediction	To Do	Medium		Consider something like Laura's Kallisto model	src/rolypoly/commands/virotype/summarize.py	
